N	Name	CoreFr	BoostFr	MemGb	MemFr	Bits	Price
318266	GeForce RTX2060 Gigabyte WindForce 2X PCI-E 6144Mb (GV-N2060WF2OC-6GD V2)	1770	1770	6	14000	192	31810
329398	GeForce RTX2060 Zotac Gaming PCI-E 6144Mb (ZT-T20600H-10M)	1680	1680	6	14000	192	31810
347142	GeForce RTX2060 EVGA KO ULTRA PCI-E 6144Mb (06G-P4-2068-KR)	1755	1755	6	14000	192	32070
317739	GeForce RTX2060 MSI PCI-E 6144Mb (RTX 2060 AERO ITX 6G OC)	1710	1710	6	14000	192	32070
308955	GeForce RTX2060 Palit GamingPro PCI-E 6144Mb (NE62060018J9)	1365	1680	6	14000	192	32130
307389	GeForce RTX2060 Palit GamingPro OC PCI-E 6144Mb (NE62060T18J9-1062A)	1365	1830	6	14000	192	32480
327341	GeForce RTX2060 Gigabyte PCI-E 6144Mb (GV-N2060WF2-6GD)	1680	1680	6	14000	192	32510
311959	GeForce RTX2060 ASUS PCI-E 6144Mb (PH-RTX2060-6G)	1365	1710	6	14000	192	33550
317738	GeForce RTX2060 MSI PCI-E 6144Mb (RTX 2060 VENTUS XS 6G)	1680	1680	6	14000	192	33880
268147	GeForce GTX1070 Ti Zotac Mini PCI-E 8192Mb (ZT-P10710G-10P)	1607	1683	8	8000	256	33990
322035	GeForce RTX2060 Gigabyte PCI-E 6144Mb (GV-N2060GAMINGOC PRO-6GDV2)	1830	1830	6	14000	192	34060
309388	GeForce RTX2060 Gigabyte PCI-E 6144Mb (GV-N2060GAMINGOC PRO-6GD)	1830	1830	6	14000	192	34160
313679	GeForce RTX2060 MSI PCI-E 6144Mb (RTX 2060 GAMING 6G)	1710	1710	6	14000	192	34600
325555	GeForce RTX2060 ASUS PCI-E 6144Mb (DUAL-RTX2060-6G-EVO)	1365	1710	6	14000	192	34690
348620	Quadro P2200 Dell PCI-E 5120Mb (490-BFPN) OEM	1253	1493	5	10024	160	34760
322633	GeForce RTX2060 ASUS PCI-E 6144Mb (TUF-RTX2060-6G-GAMING)	1365	1710	6	14000	192	35210
317243	GeForce RTX2060 ASUS PCI-E 6144Mb (TUF-RTX2060-O6G-GAMING)	1365	1740	6	14000	192	35300
325561	GeForce RTX2060 Super Palit Dual PCI-E 8192Mb (NE6206S018P2-1160A)	1470	1650	8	14000	256	36080
332674	GeForce RTX2060 Super Gigabyte PCI-E 8192Mb (GV-N206SGAMING OC-8GD)	1710	1710	8	14000	256	36200
336847	GeForce RTX2060 Super Colorful PCI-E 8192Mb (RTX 2060 SUPER 8G-V)	1470	1650	8	14000	256	36430
325557	GeForce RTX2060 ASUS PCI-E 6144Mb (DUAL-RTX2060-A6G-EVO)	1365	1725	6	14000	192	37040
309450	GeForce RTX2060 MSI PCI-E 6144Mb (RTX 2060 GAMING Z 6G)	1830	1830	6	14000	192	37210
327346	GeForce RTX2060 Super Gigabyte PCI-E 8192Mb (GV-N206SGAMING OC WHITE-8GD)	1815	1815	8	14000	256	37290
325558	GeForce RTX2060 ASUS PCI-E 6144Mb (DUAL-RTX2060-O6G-EVO)	1365	1785	6	14000	192	37470
329616	GeForce RTX2060 Super Gigabyte PCI-E 8192Mb (GV-N206SWF2-8GD)	1650	1650	8	14000	256	37750
268145	GeForce GTX1070 Ti Zotac AMP Extreme PCI-E 8192Mb (ZT-P10710B-10P)	1607	1683	8	8000	256	37870
342805	GeForce RTX2070 MSI PCI-E 8192Mb (RTX 2070 AERO ITX 8G V1)	1620	1620	8	14000	256	37920
336845	GeForce RTX2060 Super Colorful PCI-E 8192Mb (RTX 2060 SUPER Ultra-V)	1470	1650	8	14000	256	38350
342567	GeForce RTX2070 ASUS PCI-E 8192Mb (DUAL-RTX2070-8G-EVO)	1410	1650	8	14000	256	38510
335270	GeForce RTX2070 Palit Dual PCI-E 8192Mb (NE62070018P2-1160A)	1410	1620	8	14000	256	38690
335503	GeForce RTX2060 Super MSI PCI-E 8192Mb (RTX 2060 SUPER VENTUS GP OC)	1665	1665	8	14000	256	38780
325385	GeForce RTX2060 Super Gigabyte PCI-E 8192Mb (GV-N206SWF2OC-8GD)	1680	1680	8	14000	256	38820
325564	GeForce RTX2060 Super Palit GamingPro PCI-E 8192Mb (NE6206S019P2-1062A)	1470	1650	8	14000	256	38820
325373	GeForce RTX2060 Super MSI PCI-E 8192Mb (RTX 2060 SUPER ARMOR OC)	1680	1680	8	14000	256	38960
325565	GeForce RTX2060 Super Palit GamingPro OC PCI-E 8192Mb (NE6206SS19P2-1062A)	1470	1710	8	14000	256	39300
310367	GeForce RTX2060 ASUS PCI-E 6144Mb (ROG-STRIX-RTX2060-6G-GAMING)	1365	1710	6	14000	192	39950
335878	GeForce RTX2060 Super Gigabyte PCI-E 8192Mb (GV-N206SWF2OC-8GD V2)	1680	1680	8	14000	256	40250
308958	GeForce RTX2060 ASUS PCI-E 6144Mb (ROG-STRIX-RTX2060-A6G-GAMING)	1365	1740	6	14000	192	40520
329870	GeForce RTX2070 Inno3D Twin X2 PCI-E 8192Mb (N20702-08D6-1710VA23)	1620	1620	8	14000	256	40520
308200	GeForce RTX2070 ASUS PCI-E 8192Mb (ROG-STRIX-RTX2070-8G-GAMING)	1410	1650	8	14000	256	40810
332139	GeForce RTX2070 Super EVGA XC Ultra PCI-E 8192Mb (08G-P4-3173-KR)	1800	1800	8	14000	256	41720
324411	GeForce RTX2060 Super Palit JetStream PCI-E 8192Mb (NE6206ST19P2)	1470	1830	8	14000	256	41790
340728	GeForce RTX2070 MSI PCI-E 8192Mb (RTX 2070 VENTUS GP 8G)	1410	1620	8	14000	256	41810
308959	GeForce RTX2060 ASUS PCI-E 6144Mb (ROG-STRIX-RTX2060-O6G-GAMING)	1365	1860	6	14000	192	41830
327351	GeForce RTX2060 Super ASUS PCI-E 8192Mb (TURBO-RTX2060S-8G-EVO)	1470	1680	8	14000	256	41830
321965	GeForce RTX2070 Gigabyte WindForce 2X PCI-E 8192Mb (GV-N2070WF2-8GD)	1620	1620	8	14000	256	41900
332134	GeForce RTX2060 Super EVGA XC Gaming PCI-E 8192Mb (08G-P4-3162-KR)	1695	1695	8	14000	256	42700
329399	GeForce RTX2060 Super Zotac AMP PCI-E 8192Mb (ZT-T20610D-10P)	1470	1680	8	14000	256	42700
328170	GeForce RTX2060 Super MSI PCI-E 8192Mb (RTX 2060 SUPER GAMING)	1470	1650	8	14000	256	43040
325374	GeForce RTX2060 Super MSI PCI-E 8192Mb (RTX 2060 SUPER GAMING X)	1695	1695	8	14000	256	43140
314059	GeForce RTX2070 ASUS PCI-E 8192Mb (TURBO-RTX2070-8G-EVO)	1410	1650	8	14000	256	43140
328828	Quadro P2200 PNY PCI-E 5120Mb (VCQP2200BLK-1) OEM	1253	1493	5	10024	160	43140
342565	GeForce RTX2060 Super ASUS PCI-E 8192Mb (DUAL-RTX2060S-A8G-EVO-V2)	1470	1695	8	14000	256	43620
342566	GeForce RTX2060 Super ASUS PCI-E 8192Mb (DUAL-RTX2060S-O8G-EVO-V2)	1470	1725	8	14000	256	44010
301325	GeForce RTX2070 ASUS PCI-E 8192Mb (ROG-STRIX-RTX2070-O8G-GAMING)	1410	1845	8	14000	256	44020
338992	GeForce RTX2060 Super ASUS PCI-E 8192Mb (ROG-STRIX-RTX2060S-O8G-EVO-GAMING)	1470	1860	8	14000	256	44290
324420	GeForce RTX2070 ASUS PCI-E 8192Mb (DUAL-RTX2070-O8G-EVO)	1410	1740	8	14000	256	44450
